node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
7,4,8,1.5809959952793071,-11.745374618584954,2918167,-11.745374703836491,425791
53,27,3,2.874864037353165,-87.85445491316221,676959,-87.85444926381467,617125
3,2,6,1.3558769394005212,-5.129656724083519,1624875,-5.129656733022706,177625
63,32,10,2.88646644118196,-169.4406751120694,5922208,-169.4406875281162,5459125
3,2,4,1.1069929172667508,-3.9621834453128746,736959,-3.962183445797825,76792
557,279,10,4.450209173405492,-2117.1720068090017,8725334,-2117.1720131088496,48373416
3,2,8,4.108002473774294,-10.18628328757572,4215875,-10.186283297432523,376667
397,199,3,5.090179685103197,-1195.5413637400197,1118000,-1195.5413562504368,4692750
3,2,2,4.575055833641641,-8.263069109732074,532666,-8.26306923377779,72041
3,2,7,1.8025066715637077,-3.3022423815012893,2307417,-3.3022423951931685,190792
11,6,6,2.6630886265618012,-22.900179835061618,2132791,-22.900179417854762,360542
5,3,6,3.198450174505819,-14.551404384804064,2264583,-14.551404334270952,268458
5,3,9,1.4112526584899716,-8.194538832574526,4053834,-8.194538851506831,632958
87,44,9,3.9964339770247195,-177.01333092706483,6138625,-177.01333100735062,4841584
3,2,6,1.3273322151625448,-4.658562385686855,1450750,-4.658562394043608,132250
3,2,9,1.7394514093371405,-7.38869946213873,3585042,-7.3886995104304125,310958
3,2,9,1.5337177031592613,-6.742008336378296,3817042,-6.742008344373247,351416
49,25,6,3.3974185441486,-105.02990626094885,2414333,-105.0299048787258,1298709
41,21,3,3.132479667502862,-70.0954997639443,763625,-70.09549810531433,535375
3,2,10,0.8178397823120985,-4.3491031846412405,4039209,-4.349103184769969,314125
7,4,4,4.57482832091131,-16.286333041840273,1158291,-16.286333536210492,186500
9,5,9,1.6102593177705566,-16.945905603533074,4014584,-16.94590562072424,835958
35,18,7,2.784697390906617,-75.47620670254904,3232583,-75.4762076783134,1582041
3,2,10,0.5575399708225757,-4.725404402595299,4087791,-4.725404406028314,351500
3,2,3,2.498984650041501,-7.234242160345046,587625,-7.234242048190192,73458
3,2,6,2.4683928361218035,-5.027018647535968,1836459,-5.0270186573779,164500
7,4,5,2.1316772180941688,-10.838677949043927,1343583,-10.838677960614191,196583
3,2,4,0.07528838833344126,-1.6349828347921331,778083,-1.6349828347921362,59667
21,11,8,3.768633456420077,-52.437239318490256,4228833,-52.43723805601549,1293333
15,8,7,3.645578160429551,-31.966567394971783,3345708,-31.966567007781595,768584
3,2,6,3.6087307618408624,-5.969160277712344,2086625,-5.969160193441516,218000
3,2,5,1.0092345614881564,-6.175793120732165,947250,-6.175793121732459,96458
7,4,2,5.162033173248874,-16.55344539947926,429792,-16.553445244177794,114375
5,3,7,3.293498213674594,-10.714691651542289,3024625,-10.714691506715184,325459
3,2,10,0.09401369813434646,-1.9934113121089676,3362917,-1.9934113121088122,245375
35,18,7,4.33264594110306,-87.04597966189185,3205917,-87.04598071402663,1472416
29,15,2,4.356618376999108,-56.8603000500818,406958,-56.86030009647696,234584
5,3,10,2.509333113158252,-11.141564665951055,5343208,-11.141564568930137,704083
3,2,2,0.1864119862984479,-0.13764773648706263,294209,-0.13764773648730821,38084
9,5,5,4.765466646027313,-22.476479311556364,1764708,-22.47647928196846,327750
57,29,3,2.2376573278424083,-76.96131172491152,535583,-76.96130957118072,570750
7,4,9,1.3858111249928964,-13.814622609322448,3461916,-13.814622873610276,548417
11,6,4,3.260342311913131,-20.926468104626707,836292,-20.92646807210286,198792
37,19,2,2.8702936290446432,-61.24938040159964,442833,-61.24938037420701,311125
3,2,4,3.642003866776534,-8.547351984140114,965833,-8.547351941501333,109708
145,73,2,3.9605109954249187,-334.5676681594375,560459,-334.56766634763346,1042208
51,26,5,5.395595542107328,-132.6618393072563,1778375,-132.66183832214824,1127125
3,2,8,0.447695585138193,-2.9602557600412434,2027166,-2.9602557602436113,151958
35,18,8,2.826809295584249,-86.04023340717723,3185000,-86.04023290829934,1862958
3,2,8,1.0320473974626398,-4.037287510233325,2252125,-4.037287515872901,182250
3,2,8,2.1598868647057303,-6.826808375550662,2670917,-6.82680837880172,259791
9,5,10,2.1239138799958046,-18.11618681458574,4667958,-18.116186705708056,950959
7,4,7,1.931155446882399,-14.055812229396308,2124750,-14.055812198483036,348959
